ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
MDG,Madagascar,2000,22.5,16.2,2.7,0.6,5.7,5.3,4.1,12.7
MWI,Malawi,2000,16.2,13.9,15.7,14.6,0.2,3.1,3.9,10.3
MYS,Malaysia,2000,8.6,3.0,0.2,0.8,0.0,6.5,1.4,13.9
MDV,Maldives,2000,16.2,5.3,0.0,0.0,0.0,4.5,1.2,16.9
MLI,Mali,2000,16.0,15.8,23.4,1.2,3.1,2.6,3.0,8.3
MLT,Malta,2000,1.5,0.0,0.0,0.0,0.0,4.8,5.2,21.5
MHL,Marshall Islands,2000,17.4,10.8,0.0,0.0,0.0,6.3,2.1,15.6
MRT,Mauritania,2000,19.0,14.1,3.7,1.0,5.5,4.3,2.8,11.0
MUS,Mauritius,2000,3.9,1.6,0.0,0.0,0.0,6.9,1.6,10.1
MEX,Mexico,2000,16.3,7.8,0.0,0.2,0.0,9.5,1.6,17.7
MDA,Moldova,2000,26.3,1.4,0.0,0.0,0.0,10.4,1.7,7.0
MCO,Monaco,2000,0.4,0.0,0.0,0.0,0.0,0.5,0.0,10.8
MNG,Mongolia,2000,19.6,12.2,0.0,0.0,0.6,6.2,2.7,15.8
MNE,Montenegro,2000,2.5,1.2,0.0,0.0,0.0,4.0,0.0,15.8
MAR,Morocco,2000,17.2,9.5,0.0,0.1,0.2,5.2,2.1,12.2
MOZ,Mozambique,2000,12.8,10.8,27.1,7.2,3.6,2.4,2.9,7.4
MMR,Myanmar,2000,19.0,12.0,1.1,0.5,1.6,5.6,3.8,13.1
NAM,Namibia,2000,15.1,9.5,2.3,29.9,0.1,4.1,1.8,10.0
NRU,Nauru,2000,16.4,8.9,0.0,0.0,0.0,5.3,1.7,13.8
NPL,Nepal,2000,19.0,10.9,0.0,0.1,8.7,4.8,3.0,9.6
NLD,Netherlands,2000,2.3,0.0,0.0,0.0,0.0,5.8,2.9,17.2
NZL,New Zealand,2000,5.7,0.4,0.0,0.0,0.0,12.2,4.2,18.4
NIC,Nicaragua,2000,18.0,15.5,0.1,1.0,0.0,3.5,1.7,17.1
NER,Niger,2000,20.6,20.7,10.9,0.7,5.1,3.4,7.0,10.0
NGA,Nigeria,2000,14.3,13.0,19.4,2.4,14.4,2.6,2.1,7.4
NIU,Niue,2000,20.9,4.0,0.0,0.0,0.0,13.6,4.2,28.6
NOR,Norway,2000,3.4,0.5,0.0,0.0,0.0,6.2,5.0,24.5
OMN,Oman,2000,11.1,2.2,0.0,0.4,0.0,9.4,0.9,20.7
PAK,Pakistan,2000,18.9,12.7,0.2,0.0,0.8,5.0,2.4,9.8
PLW,Palau,2000,9.6,1.8,0.0,0.0,0.0,13.9,2.2,13.6
PAN,Panama,2000,9.8,4.7,0.0,0.7,0.0,3.2,1.6,17.9
PNG,Papua New Guinea,2000,15.5,9.1,12.9,1.4,7.7,4.2,2.4,9.7
PRY,Paraguay,2000,14.3,9.3,0.0,0.3,0.0,5.3,1.3,12.8
PER,Peru,2000,16.6,8.6,0.0,1.2,0.0,8.3,2.5,18.5
PHL,Philippines,2000,21.4,11.7,0.1,0.0,0.1,6.9,2.7,12.8
POL,Poland,2000,5.0,0.2,0.0,0.0,0.0,6.1,1.1,10.4
