ISO,CountryName,Year,Pneumonia,Diarrhoea,Malaria,Aids,Measles,Injury,Meningitis,Other
LCA,Saint Lucia,2015,5.6,0,0,0,0,4.2,1.1,18.7
WSM,Samoa,2015,9.7,3.1,0,0,0,7,1.3,16.4
SMR,San Marino,2015,3.6,0.3,0,0,0,17.1,1.6,35.7
STP,Sao Tome & Principe,2015,11.7,7.7,16.8,0.3,1.5,6.5,0.8,15.6
SAU,Saudi Arabia,2015,5.5,1.1,0,0,0,10,0.7,18.9
SEN,Senegal,2015,14.7,8.9,3.9,0.6,0.6,7.6,1.6,15
SRB,Serbia,2015,4.8,0,0,0,0,4.1,0.7,14.5
SYC,Seychelles,2015,5.2,1,0,0,0,8.2,0.9,25.3
SLE,Sierra Leone,2015,14,10.5,19.8,0.4,2.1,5.1,1.4,15.1
SGP,Singapore,2015,13.6,0.5,0,0,0,5.5,0.5,27.9
SVK,Slovakia,2015,8.7,0.3,0,0,0,3.2,1,16.5
SVN,Slovenia,2015,2.4,0.7,0,0,0,6.3,0,19
SLB,Solomon Islands,2015,18.1,7.2,0.9,0,0,8.4,2.4,14.9
SOM,Somalia,2015,24.2,14.5,1.1,0.5,5,5.8,4.8,12.6
ZAF,South Africa,2015,16.9,8.7,0.1,8.7,1.2,9,1.3,22
SSD,South Sudan,2015,20.4,8.2,7.2,3.7,0.7,4.8,3.6,9.3
ESP,Spain,2015,1.5,0.2,0,0,0,3.7,1.2,24.7
LKA,Sri Lanka,2015,6.2,2,0,0.2,0,6.4,0.9,22.6
VCT,St Vincent & the Grenadines,2015,5.2,0,0,0,0,4.5,0,15
SDN,Sudan,2015,17.4,10.7,1.1,0.4,1.2,8.6,1.8,14.4
SUR,Suriname,2015,7.7,1.3,0,2,0,9.3,2,15.4
SWZ,Swaziland,2015,15.9,10.4,0,11.7,0,8.2,1.2,19.2
SWE,Sweden,2015,4,0.4,0,0.1,0,3.3,0.4,32.2
CHE,Switzerland,2015,1.2,0.3,0,0,0,4.1,0.3,17.7
SYR,Syria,2015,7.1,14.4,0,0,2,12,0.3,12.9
TJK,Tajikistan,2015,17.4,7.8,0,0.4,0,7.8,2,18.1
TZA,Tanzania,2015,14.6,8.1,5.1,2.9,0.4,8.3,1.2,15.9
THA,Thailand,2015,9.2,2.8,0.1,0.9,0.4,6.4,0.9,16.3
TLS,Timor Leste,2015,20.8,9.6,1.6,0.2,0,8.3,1.9,14
TGO,Togo,2015,15.2,8.4,17.9,1.3,0.4,5.6,2.3,12.5
TON,Tonga,2015,10.9,3.4,0,0,0,10.2,1.7,19.5
TTO,Trinidad & Tobago,2015,7.7,0.4,0,1.6,0,7.1,0.8,23.1
TUN,Tunisia,2015,8,2.4,0,0.1,0,4.7,0.5,18.1
TUR,Turkey,2015,3.8,0.8,0,0,0,4.3,0.6,23.3
TKM,Turkmenistan,2015,16.7,8.2,0,0,0,7.2,1.2,18.1
TUV,Tuvalu,2015,12.2,3.3,0,0,0,6.2,1.1,12.6
UGA,Uganda,2015,16,8.2,7.5,5.7,0.1,7.1,2.7,14.1
UKR,Ukraine,2015,8.3,1.7,0,1.8,0.5,6,1.2,12.3
ARE,United Arab Emirates,2015,3.8,0.8,0,0,0,7.8,0.5,17.1
GBR,United Kingdom,2015,3.8,0.4,0,0,0,3.6,1.4,21
USA,United States of America,2015,2.7,1.5,0,0,0,12.5,0.5,24.3
URY,Uruguay,2015,6.3,1.4,0,0,0,7.3,1.3,16.8
UZB,Uzbekistan,2015,14.9,5.9,0,0.1,0,7.4,1.3,15.4
VUT,Vanuatu,2015,13.9,14,0.9,0,0.8,6.1,1.4,14.3
VEN,Venezuela,2015,10.8,5.1,0.4,0.3,0,8.4,1.3,10.1
VNM,Vietnam,2015,14.1,6.6,0,0.4,0.7,4.3,1.4,15
YEM,Yemen,2015,15.6,7.5,0.7,0.1,0.4,8.4,1.1,14.3
ZMB,Zambia,2015,15.4,8.9,7.2,6.4,0.3,7.3,1.4,15.3
ZWE,Zimbabwe,2015,14.7,9.7,2.3,8.9,0.4,7.2,1.4,17.5
AFG,Afghanistan,2000,22,17.3,0.2,0,8.3,4.8,4.4,10.6
ALB,Albania,2000,19.3,2.9,0,0,0.1,8.7,2.4,15.3
DZA,Algeria,2000,15.9,8.4,0,0,4.9,5.3,1.5,12.5
AND,Andorra,2000,2.7,0.1,0,0,0,5,0.9,17.6
AGO,Angola,2000,19.4,19.3,12.6,0.9,0.8,3.2,4.3,10.7
ATG,Antigua & Barbuda,2000,0,0,0,0,0,1.7,1.7,23.9
ARG,Argentina,2000,6.9,2.1,0,0.4,0,8.6,1.6,16.5
ARM,Armenia,2000,20,3.7,0,0.2,0.1,9.2,2.2,11.8
AUS,Australia,2000,2.6,0.1,0,0,0,11,1.8,26.7
AUT,Austria,2000,1.9,0.3,0,0,0,9.9,1.6,18.3
AZE,Azerbaijan,2000,19.5,12.7,0,0,0.1,5.4,2.5,15.3
BHS,Bahamas,2000,23,0.9,0,0.9,0,10.2,0.8,9.7
BHR,Bahrain,2000,1.7,0.4,0,0,0,13.5,0.4,15.9
BGD,Bangladesh,2000,19.8,12.1,1.3,0,4,5,3.1,11.4
BRB,Barbados,2000,0,0,0,5.3,0,5,3.1,22.6
BLR,Belarus,2000,13.7,1.6,0,0.2,0,7.6,1.9,13.9
BEL,Belgium,2000,1.2,0.7,0,0,0,9.9,4.1,25
BLZ,Belize,2000,12.6,4.5,0,1.4,0,12.3,3.2,8.1
BEN,Benin,2000,17,14.1,14.8,1.4,6.6,3.6,3.1,11.3
BTN,Bhutan,2000,21.6,13.6,0.3,0.1,2.4,6.5,2.9,13.2
BOL,Bolivia,2000,18.5,15.4,0,0.1,0,6.4,2,14.6
BIH,Bosnia & Herzegovina,2000,7.8,0.9,0,0,1.5,3.7,0.7,11.2
BWA,Botswana,2000,7.3,4.4,0.5,40.5,15.4,1.8,0.7,5.6
BRA,Brazil,2000,12.3,7.6,0.1,0.5,0,4.7,2.6,19.8
BRN,Brunei,2000,5.2,0,0,0,0,5,0,26.8
BGR,Bulgaria,2000,20.8,2.5,0,0,0,5,1.5,16
BFA,Burkina Faso,2000,9.7,8.2,37.5,2,11.6,1.8,2.8,5.2
BDI,Burundi,2000,17.2,13.3,19.5,3.3,4.8,3.5,3.8,9.2
KHM,Cambodia,2000,20.7,14.7,6.3,1.8,3.8,5,3.8,12.6
CMR,Cameroon,2000,16.5,14.1,19.2,5,4.8,3.4,2.6,9.8
CAN,Canada,2000,2.6,0.4,0,0,0,7.8,1.5,21.2
CPV,Cape Verde,2000,16.7,9.7,0,2.2,6.3,3.5,1.3,13
CAF,Central African Republic,2000,12.1,10.4,23.8,8,6.3,2.1,3.8,6.4
